入殓师,2008,8.9,637116
爱在黎明破晓前,1995,8.8,641898
第六感,1999,8.9,531520
重庆森林,1994,8.8,771852
蝙蝠侠：黑暗骑士崛起,2012,8.8,688429
幽灵公主,1997,8.9,500908
天使爱美丽,2001,8.7,931376
菊次郎的夏天,1999,8.9,567445
超能陆战队,2014,8.7,965615
爱在日落黄昏时,2004,8.9,527869
阳光灿烂的日子,1994,8.9,590165
小森林 夏秋篇,2014,9.0,408209
完美的世界,1993,9.1,298719
甜蜜蜜,1996,8.9,512548
无人知晓,2004,9.1,302340
消失的爱人,2014,8.7,889545
借东西的小人阿莉埃蒂,2010,8.9,525900
倩女幽魂,1987,8.8,700227
小森林 冬春篇,2015,9.0,363911
侧耳倾听,1995,8.9,440517
时空恋旅人,2013,8.8,626606
幸福终点站,2004,8.8,541455
驯龙高手,2010,8.8,723637
寄生虫,2019,8.8,1309861
萤火之森,2011,8.9,508566
教父3,1990,9.0,353473
一个叫欧维的男人决定去死,2015,8.9,445210
怪兽电力公司,2001,8.8,636216
未麻的部屋,1997,9.1,309269
玩具总动员3,2010,8.9,489064
玛丽和马克思,2009,8.9,409656
傲慢与偏见,2005,8.7,757170
神偷奶爸,2010,8.6,909931
釜山行,2016,8.6,1144569
哈利·波特与火焰杯,2005,8.8,615289
告白,2010,8.8,649492
大鱼,2003,8.8,546708
被解救的姜戈,2012,8.8,580944
新世界,2013,8.9,399144
哪吒闹海,1979,9.2,245635
射雕英雄传之东成西就,1993,8.7,606275
阳光姐妹淘,2011,8.8,573545
我是山姆,2001,9.0,322730
头号玩家,2018,8.7,1308878
恐怖直播,2013,8.7,624814
模仿游戏,2014,8.8,616916
喜宴,1993,9.0,340255
血战钢锯岭,2016,8.7,754486
七武士,1954,9.3,187562
花样年华,2000,8.7,573321
九品芝麻官,1994,8.7,633865
头脑特工队,2015,8.8,579456
黑客帝国3：矩阵革命,2003,8.8,428443
电锯惊魂,2004,8.8,506347
惊魂记,1960,9.0,272445
三块广告牌,2017,8.7,787368
你的名字。,2016,8.5,1327635
达拉斯买家俱乐部,2013,8.8,434286
色，戒,2007,8.6,744783
卢旺达饭店,2004,8.9,314143
疯狂原始人,2013,8.7,805650
茶馆,1982(中国大陆),9.5,124405
上帝之城,2002,9.0,290247
心迷宫,2014,8.7,494114
谍影重重3,2007,8.8,400403
英雄本色,1986,8.6,510035
风之谷,1984,8.9,341764
纵横四海,1991,8.8,401628
海街日记,2015,8.8,424794
绿里奇迹,1999,8.9,311347
爱在午夜降临前,2013,8.9,376158
记忆碎片,2000,8.7,577562
岁月神偷,2010,8.7,558174
忠犬八公物语,1987,9.2,185190
荒蛮故事,2014,8.8,422850
爆裂鼓手,2014,8.7,558749
疯狂的石头,2006,8.6,781622
小偷家族,2018,8.7,782701
无敌破坏王,2012,8.7,511920
贫民窟的百万富翁,2008,8.6,719174
雨中曲,1952,9.1,210068
冰川时代,2002,8.6,586899
东邪西毒,1994,8.6,552564
真爱至上,2003,8.6,696052
